Samples          ,Sensory Score
F1a_1               ,1
F1a_2,1
F1a_3,1
F1a_4,1
F1b_1              ,1
F1b_2,1
F1b_3,1
F1b_4,1
0F4_1                 ,1
0F4_2,1
0F4_3,1
0F4_4,1
0F7_1                 ,1
0F7_2,1
0F7_3,1
0F7_4,1
0F9_1                 ,2
0F9_2,2
0F9_3,2
0F9_4,2
0F11_1                ,3
0F11_2,3
0F11_3,3
0F11_4,3
0F12_1                ,3
0F12_2,3
0F12_3,3
0F14_1                ,3
0F14_2,3
0F14_3,3
0F14_4,3
0F16_1                ,3
0F16_2,3
0F16_3,3
5F3_1                 ,1
5F3_2,1
5F3_3,1
5F3_4,1
5F5_1                ,2
5F5_2,2
5F5_3,2
5F5_4,2
5F6_1                 ,2
5F6_2,2
5F6_3,2
5F6_4,2
5F7_1                 ,3
5F7_2,3
5F7_3,3
5F7_4,3
5F8_1                 ,3
5F8_2,3
5F8_3,3
5F8_4,3
5F9_1                 ,3
5F9_2,3
5F9_3,3
5F9_4,3
5F11_1                ,3
5F11_2,3
5F11_3,3
5F11_4,3
10F4_1                ,1
10F4_2,1
10F4_3,1
10F4_4,1
10F7_1                ,2
10F7_2,2
10F7_3,2
10F7_4,2
10F9_1                ,2
10F9_2,2
10F9_3,2
10F9_4,2
10F12_1               ,3
10F12_2,3
10F12_3,3
10F12_4,3
10F14_1               ,3
10F14_2,3
10F14_3,3
10F14_4,3
10F16_1               ,3
10F16_2,3
10F16_3,3
10F16_4,3
10F18_1               ,3
10F18_2,3
10F18_3,3
10F18_4,3
15F4_1                ,1
15F4_2,1
15F4_3,1
15F4_4,1
15F6_1                ,1
15F6_2,1
15F6_3,1
15F6_4,1
15F8_1                ,2
15F8_2,2
15F8_3,2
15F8_4,2
15F11_1               ,3
15F11_2,3
15F11_3,3
15F11_4,3
15F13_1               ,3
15F13_2,3
15F13_3,3
15F13_4,3
15F16_1               ,3
15F16_2,3
15F16_3,3
15F16_4,3
15F19_1               ,3
15F19_2,3
15F19_3,3
15F19_4,3
20F3_1                ,1
20F3_2,1
20F3_3,1
20F3_4,1
20F5_1                ,1
20F5_2,1
20F5_3,1
20F5_4,1
20F7_1                ,2
20F7_2,2
20F7_3,2
20F7_4,2
20F10_1               ,3
20F10_2,3
20F10_3,3
20F10_4,3
20F13_1               ,3
20F13_2,3
20F13_3,3
20F13_4,3
20F16_1               ,3
20F16_2,3
20F16_3,3
20F16_4,3
